Date,Open,High,Low,Close,Adj Close,Volume
2022-02-28,109.370003,109.769997,105.000000,107.010002,102.336174,26390800
2022-03-01,110.000000,111.110001,107.050003,108.050003,103.330750,20377900
2022-03-02,108.400002,109.970001,107.860001,109.610001,104.822601,13342400
2022-03-03,109.910004,110.000000,107.599998,108.790001,104.038422,10841700
2022-03-04,107.000000,108.120003,103.809998,105.059998,100.471336,22372100
2022-03-07,103.290001,104.089996,99.059998,99.290001,94.953354,29422900
2022-03-08,100.209999,103.110001,98.620003,100.000000,95.632339,25650000
2022-03-09,104.510002,105.720001,102.760002,104.949997,100.366142,14348400
2022-03-10,104.190002,105.529999,102.519997,103.959999,99.419373,11811000
2022-03-11,105.360001,105.360001,101.300003,101.410004,96.980759,18116400
2022-03-14,101.519997,101.860001,99.070000,99.300003,94.962921,17959400
2022-03-15,98.029999,102.139999,97.620003,102.089996,97.631050,13415600
2022-03-16,102.989998,105.790001,102.809998,105.690002,101.561287,20347100
2022-03-17,105.750000,106.529999,104.750000,106.489998,102.330025,8042000
2022-03-18,105.709999,107.040001,104.889999,106.720001,102.551041,10218200
2022-03-21,106.720001,107.220001,105.129997,106.919998,102.743233,10366100
2022-03-22,106.389999,107.959999,106.230003,107.040001,102.858551,10401200
2022-03-23,106.500000,108.190002,105.349998,105.349998,101.234558,12905300
2022-03-24,106.779999,107.980003,105.830002,107.919998,103.704178,10834000
2022-03-25,107.690002,107.980003,105.839996,106.730003,102.560654,7432100
2022-03-28,105.620003,106.720001,104.610001,106.330002,102.176277,8151200
2022-03-29,107.919998,109.760002,106.790001,109.250000,104.982208,14076200
2022-03-30,107.790001,109.339996,106.510002,106.730003,102.560654,15456300
2022-03-31,106.959999,107.150002,104.190002,104.260002,100.187157,13021600
2022-04-01,105.769997,105.949997,102.209999,102.790001,98.774559,12085100
2022-04-04,104.019997,105.570000,103.279999,104.790001,100.696442,9077200
2022-04-05,104.480003,104.599998,102.110001,102.500000,98.495903,12291000
2022-04-06,100.419998,102.139999,99.720001,101.180000,97.227455,14902600
2022-04-07,100.419998,101.230003,99.650002,100.519997,96.593239,12431000
2022-04-08,100.620003,100.699997,99.120003,99.290001,95.411293,11796200
2022-04-11,98.220001,98.379997,96.910004,97.570000,93.758484,12480500
2022-04-12,100.000000,100.150002,97.440002,97.440002,93.633560,13291500
2022-04-13,99.800003,102.220001,99.500000,101.500000,97.534950,15776800
2022-04-14,104.000000,104.500000,98.330002,98.360001,94.517616,17828500
2022-04-18,97.949997,99.839996,97.470001,98.769997,94.911591,10277400
2022-04-19,98.440002,99.449997,97.709999,99.449997,95.565048,10103000
2022-04-20,100.400002,101.000000,98.900002,99.010002,95.142227,8596900
2022-04-21,99.750000,100.650002,97.410004,97.660004,93.844971,13038500
2022-04-22,97.029999,97.790001,95.360001,95.680000,91.942307,11650100
2022-04-25,95.050003,96.279999,94.449997,96.239998,92.480438,10654400
2022-04-26,94.940002,95.019997,92.769997,92.769997,89.145988,14176000
2022-04-27,91.839996,92.690002,90.220001,90.260002,86.734055,15846300
2022-04-28,92.160004,96.199997,91.779999,95.220001,91.500275,15176200
2022-04-29,93.180000,95.589996,92.769997,92.930000,89.299736,10629300
2022-05-02,92.500000,94.269997,91.239998,93.760002,90.097328,8251900
2022-05-03,92.779999,94.050003,92.510002,93.629997,89.972389,9511900
2022-05-04,93.910004,96.070000,91.919998,95.989998,92.240211,9082500
2022-05-05,94.040001,94.379997,91.220001,92.150002,88.550209,11517200
2022-05-06,91.400002,92.879997,90.269997,91.629997,88.050529,7944900
2022-05-09,89.940002,90.190002,87.010002,87.300003,83.889671,11428600
2022-05-10,90.019997,90.290001,88.089996,88.820000,85.350304,11690400
2022-05-11,88.870003,90.570000,87.800003,87.830002,84.398972,11531300
2022-05-12,86.220001,88.209999,85.389999,87.690002,84.264450,11592900
2022-05-13,88.870003,91.360001,88.160004,90.959999,87.406708,11180600
2022-05-16,89.870003,91.370003,89.500000,90.410004,86.878189,6729100
2022-05-17,93.300003,93.489998,92.370003,93.320000,89.674500,7668800
2022-05-18,92.070000,93.230003,90.370003,90.529999,86.993492,9610900
2022-05-19,89.839996,92.099998,89.559998,90.209999,86.686005,7739000
2022-05-20,93.040001,93.040001,88.830002,90.779999,87.233742,10469900
2022-05-23,91.019997,91.910004,90.650002,91.500000,87.925613,6920500
2022-05-24,89.519997,89.800003,88.519997,88.720001,85.254204,8788600
2022-05-25,89.330002,90.919998,89.040001,90.410004,86.878189,9113500
2022-05-26,89.410004,91.370003,89.040001,91.000000,87.445129,9762700
2022-05-27,92.620003,93.820000,92.529999,93.769997,90.106926,6279000
2022-05-31,95.540001,96.290001,94.510002,95.300003,91.577171,9621700
2022-06-01,95.599998,96.360001,93.830002,94.750000,91.048637,6152400
2022-06-02,93.989998,96.370003,93.620003,96.339996,92.576523,6335000
2022-06-03,94.360001,94.580002,92.900002,93.769997,90.106926,9137100
2022-06-06,95.000000,95.540001,92.870003,93.110001,89.472710,9440200
2022-06-07,92.669998,93.860001,91.769997,93.839996,90.174187,7360200
2022-06-08,94.000000,94.930000,93.139999,93.470001,89.818649,6446300
2022-06-09,93.000000,93.500000,90.800003,90.849998,87.301003,8086700
2022-06-10,90.540001,90.720001,88.629997,88.680000,85.215759,10460400
2022-06-13,86.059998,86.830002,85.019997,85.550003,82.208038,14603700
2022-06-14,86.739998,87.879997,86.290001,87.190002,83.783974,10449600
2022-06-15,87.510002,89.809998,87.370003,89.129997,85.648186,11742500
2022-06-16,85.220001,85.930000,83.989998,84.519997,81.646065,10505200
2022-06-17,85.000000,85.599998,83.949997,85.000000,82.109749,9735500
2022-06-21,86.000000,87.750000,86.000000,86.949997,83.993423,9604000
2022-06-22,84.639999,86.180000,84.550003,84.910004,82.022804,7868700
2022-06-23,84.129997,84.230003,82.760002,84.120003,81.259659,10370300
2022-06-24,84.150002,86.550003,84.150002,85.919998,82.998459,10670100
2022-06-27,86.919998,87.000000,85.580002,85.860001,82.940491,7358000
2022-06-28,86.150002,86.809998,84.339996,84.339996,81.472176,8289200
2022-06-29,84.430000,84.610001,83.330002,83.650002,80.805649,7981300
2022-06-30,81.459999,82.220001,80.120003,81.750000,78.970245,14201600
2022-07-01,79.040001,79.220001,76.180000,77.000000,74.381752,19531700
2022-07-05,74.550003,76.150002,73.739998,76.110001,73.522034,22253100
2022-07-06,74.290001,76.300003,73.779999,75.559998,72.990723,11530500
2022-07-07,78.599998,80.959999,78.339996,80.650002,77.907646,15847800
2022-07-08,79.919998,82.160004,79.760002,81.510002,78.738419,10004200
2022-07-11,79.769997,80.269997,78.820000,79.110001,76.420021,9519600
2022-07-12,81.160004,81.480003,78.930000,79.099998,76.410362,10363700
2022-07-13,79.279999,81.720001,78.900002,81.290001,78.525894,14706500
2022-07-14,82.949997,84.040001,80.510002,83.669998,80.824959,23377000
2022-07-15,85.580002,86.040001,83.970001,85.629997,82.718315,14061000
2022-07-18,86.059998,86.080002,83.370003,83.580002,80.738037,11352500
2022-07-19,85.000000,86.470001,84.559998,86.150002,83.220634,10673100
2022-07-20,85.180000,86.750000,85.110001,86.559998,83.616692,11664800
2022-07-21,86.680000,87.800003,86.400002,87.790001,84.804886,7135000
2022-07-22,87.410004,87.730003,85.800003,86.320000,83.384850,8612100
2022-07-25,86.300003,86.699997,85.629997,86.300003,83.365540,5960900
2022-07-26,84.760002,85.199997,83.849998,84.419998,81.549461,6977700
2022-07-27,85.309998,87.900002,85.309998,87.629997,84.650314,9399500
2022-07-28,87.129997,88.620003,86.449997,88.610001,85.597000,10668200
2022-07-29,87.820000,89.209999,87.790001,88.480003,85.471413,10366200
2022-08-01,85.300003,86.889999,84.300003,86.309998,83.375198,20102600
2022-08-02,84.519997,87.510002,84.169998,86.050003,83.124039,15541600
2022-08-03,85.959999,86.769997,84.559998,86.510002,83.568405,20779400
2022-08-04,87.000000,88.419998,86.620003,88.419998,85.413452,13472500
2022-08-05,88.029999,90.980003,88.010002,89.769997,86.717545,13293500
2022-08-08,88.980003,89.099998,86.910004,87.940002,84.949776,12120300
2022-08-09,86.940002,87.139999,84.440002,85.209999,82.312599,13075000
2022-08-10,86.809998,88.669998,86.309998,88.669998,85.654938,10704600
2022-08-11,89.959999,91.000000,89.309998,89.519997,86.476051,11158800
2022-08-12,89.680000,91.349998,89.639999,90.860001,87.770493,12098800
2022-08-15,90.010002,91.940002,90.000000,91.570000,88.456345,15949500
2022-08-16,91.139999,91.349998,88.570000,89.949997,86.891426,10566100
2022-08-17,89.000000,89.769997,88.480003,89.199997,86.166931,9093100
2022-08-18,88.709999,89.669998,88.419998,89.269997,86.234550,10947700
2022-08-19,88.500000,88.589996,87.019997,87.199997,84.234932,9602800
2022-08-22,85.410004,86.029999,84.940002,85.239998,82.341576,8054000
2022-08-23,85.160004,86.599998,84.989998,86.029999,83.104729,8462500
2022-08-24,85.800003,86.129997,85.199997,85.559998,82.650696,7085800
2022-08-25,86.330002,87.589996,86.010002,87.570000,84.592354,6602100
2022-08-26,87.500000,87.790001,84.650002,84.739998,81.858582,9381500
2022-08-29,83.910004,84.320000,82.779999,82.849998,80.032845,9639700
2022-08-30,83.779999,83.980003,81.730003,82.790001,79.974884,8392300
2022-08-31,84.110001,84.870003,83.059998,83.349998,80.515839,8887100
2022-09-01,81.449997,81.830002,80.120003,81.639999,78.863998,11566000
2022-09-02,81.550003,82.980003,80.610001,80.900002,78.149155,8850100
2022-09-06,81.029999,81.029999,79.519997,80.029999,77.308731,12704400
2022-09-07,78.389999,80.180000,78.230003,79.949997,77.231453,9843500
2022-09-08,79.010002,80.739998,78.769997,80.239998,77.511589,8181700
2022-09-09,80.830002,81.660004,80.739998,81.529999,78.757729,7084700
2022-09-12,81.970001,82.500000,81.760002,82.150002,79.356651,7903000
2022-09-13,80.419998,81.139999,78.519997,78.809998,76.130211,12835100
2022-09-14,79.739998,80.160004,78.980003,79.660004,76.951324,8849600
2022-09-15,78.580002,79.250000,77.669998,77.980003,75.754463,10533100
2022-09-16,77.110001,78.000000,76.919998,77.889999,75.667038,10604500
2022-09-19,76.550003,78.230003,76.550003,78.230003,75.997345,10378600
2022-09-20,77.540001,78.440002,77.510002,78.150002,75.919624,8202800
2022-09-21,77.580002,79.309998,77.139999,77.139999,74.938454,10869000
2022-09-22,76.449997,76.750000,75.360001,75.629997,73.471542,10817900
2022-09-23,74.300003,74.389999,73.089996,73.870003,71.761787,12685500
2022-09-26,73.470001,74.190002,72.919998,73.010002,70.926323,13441500
2022-09-27,73.510002,74.040001,72.349998,73.029999,70.945747,12430600
2022-09-28,71.110001,72.290001,70.699997,72.129997,70.071426,12943600
2022-09-29,70.519997,70.680000,68.480003,69.279999,67.302765,16120300
2022-09-30,67.809998,69.650002,67.739998,68.559998,66.603310,10472400
2022-10-03,68.080002,69.570000,67.650002,69.250000,67.273628,11945100
2022-10-04,70.800003,72.930000,70.720001,72.809998,70.732018,14900700
2022-10-05,72.919998,74.910004,72.580002,74.480003,72.354378,14037100
2022-10-06,73.970001,74.919998,73.860001,74.349998,72.228081,11796800
2022-10-07,71.809998,72.029999,69.750000,69.750000,67.759354,14758600
2022-10-10,69.849998,69.879997,67.010002,67.440002,65.515282,16042200
2022-10-11,64.199997,64.910004,62.619999,63.450001,61.639160,28699300
2022-10-12,63.599998,64.230003,63.369999,64.110001,62.280319,16468700
2022-10-13,63.060001,70.199997,62.320000,66.620003,64.718689,36639300
2022-10-14,67.260002,67.449997,63.779999,63.919998,62.095745,19440900
2022-10-17,64.980003,65.349998,64.040001,64.889999,63.038063,11280100
2022-10-18,65.900002,66.110001,62.779999,63.709999,61.891739,16656100
2022-10-19,62.740002,64.110001,62.169998,63.660000,61.843163,12385200
2022-10-20,63.750000,65.279999,63.380001,63.580002,61.765453,11300900
2022-10-21,62.020000,63.779999,62.020000,63.750000,61.930595,13699000
2022-10-24,60.580002,61.619999,59.680000,61.290001,59.540806,25010800
2022-10-25,59.959999,61.360001,59.509998,61.139999,59.395088,21700600
2022-10-26,60.860001,61.980000,60.430000,60.840000,59.103645,14006000
2022-10-27,61.849998,62.450001,60.910000,60.950001,59.210506,12937600
2022-10-28,60.770000,62.029999,60.070000,62.009998,60.240253,11972300
2022-10-31,61.590000,62.270000,61.070000,61.549999,59.793385,10802800
2022-11-01,63.259998,63.430000,61.580002,61.580002,59.822529,11561900
2022-11-02,62.500000,62.889999,60.520000,60.520000,58.792782,16547200
2022-11-03,60.000000,60.889999,59.430000,60.279999,58.559624,11040900
2022-11-04,61.509998,62.500000,61.020000,62.480000,60.696842,14662800
2022-11-07,62.619999,62.930000,61.970001,62.759998,60.968845,8507100
2022-11-08,64.370003,65.750000,64.220001,65.019997,63.164349,14102800
2022-11-09,66.529999,66.599998,64.949997,65.000000,63.144917,15086800
2022-11-10,67.739998,70.870003,67.320000,70.839996,68.818245,21367900
2022-11-11,72.739998,74.599998,72.379997,73.830002,71.722923,15524700
2022-11-14,73.239998,73.680000,72.239998,72.800003,70.722313,11575300
2022-11-15,81.919998,82.930000,80.010002,80.459999,78.163696,48742400
2022-11-16,80.559998,80.570000,78.900002,79.449997,77.182518,24006600
2022-11-17,79.300003,82.940002,78.690002,81.480003,79.154594,24278400
2022-11-18,82.779999,82.839996,81.000000,82.269997,79.922035,18578400
2022-11-21,80.809998,81.029999,79.470001,79.930000,77.648827,18659700
2022-11-22,81.349998,83.190002,81.230003,82.540001,80.184341,16504700
2022-11-23,82.440002,82.949997,81.730003,81.970001,79.630600,14683800
2022-11-25,82.139999,82.370003,81.400002,81.400002,79.076874,5908300
2022-11-28,80.269997,81.080002,78.889999,79.220001,76.959091,13214200
2022-11-29,79.910004,80.209999,78.959999,79.330002,77.065941,11502300
2022-11-30,80.629997,83.430000,80.470001,82.980003,80.611778,21667300
2022-12-01,83.040001,83.629997,81.139999,82.680000,80.320335,15975100
2022-12-02,81.809998,82.160004,81.150002,81.500000,79.174004,10519800
2022-12-05,81.940002,82.180000,80.949997,81.620003,79.290588,11523300
2022-12-06,81.400002,81.440002,79.160004,79.559998,77.289375,13992100
2022-12-07,79.000000,79.709999,78.589996,79.239998,76.978516,14925300
2022-12-08,79.449997,80.970001,79.099998,80.800003,78.493996,11197500
2022-12-09,80.849998,82.190002,80.690002,80.690002,78.387146,13787900
2022-12-12,79.790001,80.430000,78.800003,80.430000,78.134567,11516600
2022-12-13,82.089996,82.089996,79.629997,80.510002,78.212273,16938000
2022-12-14,80.820000,81.510002,79.519997,80.019997,77.736252,17910000
2022-12-15,79.209999,79.209999,77.389999,77.610001,75.822380,17080200
2022-12-16,77.610001,78.059998,76.230003,76.300003,74.542549,11929100
2022-12-19,76.919998,77.120003,75.760002,76.099998,74.347160,12561300
2022-12-20,75.110001,76.199997,74.900002,75.620003,73.878220,12080600
2022-12-21,75.860001,77.419998,75.769997,77.139999,75.363205,10806100
2022-12-22,76.279999,76.430000,74.019997,75.279999,73.546036,13019700
2022-12-23,74.889999,75.349998,74.169998,74.889999,73.165031,7452600
2022-12-27,74.330002,74.739998,74.160004,74.320000,72.608162,8974800
2022-12-28,74.190002,74.550003,72.839996,73.059998,71.377174,10275700
2022-12-29,74.349998,76.040001,74.150002,76.000000,74.249466,11142500
2022-12-30,74.290001,74.570000,73.650002,74.489998,72.774239,7784100
2023-01-03,75.849998,75.970001,73.769997,74.029999,72.324844,9276200
2023-01-04,74.989998,76.610001,74.470001,76.320000,74.562096,12316400
2023-01-05,76.000000,76.440002,75.339996,75.730003,73.985687,10039200
2023-01-06,76.500000,78.739998,76.150002,78.070000,76.271790,13744100
2023-01-09,80.559998,81.220001,80.059998,80.309998,78.460190,22247600
2023-01-10,80.510002,81.580002,80.459999,81.269997,79.398071,10269000
2023-01-11,81.570000,81.889999,80.629997,81.779999,79.896324,11771400
2023-01-12,84.959999,88.830002,84.419998,87.000000,84.996094,36086800
2023-01-13,85.410004,87.099998,84.900002,86.800003,84.800705,18719900
2023-01-17,86.220001,89.730003,86.160004,88.989998,86.940262,21850000
2023-01-18,90.480003,91.220001,89.360001,89.470001,87.409210,19209800
2023-01-19,89.029999,90.010002,88.260002,88.400002,86.363846,13651100
2023-01-20,90.000000,91.029999,89.199997,91.029999,88.933273,14287200
2023-01-23,91.760002,95.730003,91.720001,95.660004,93.456642,22875100
2023-01-24,95.790001,98.000000,91.550003,94.559998,92.381958,11370500
2023-01-25,92.680000,93.000000,91.120003,92.410004,90.281494,14147300
2023-01-26,93.889999,94.279999,92.639999,93.449997,91.297523,15759400
2023-01-27,92.820000,94.120003,92.239998,93.300003,91.150993,13646600
2023-01-30,92.849998,94.250000,92.580002,93.129997,90.984894,14079800
2023-01-31,91.000000,92.760002,90.000000,92.730003,90.594124,13342100
2023-02-01,93.000000,95.769997,92.570000,94.739998,92.557816,16788500
2023-02-02,96.599998,97.500000,95.839996,96.650002,94.423820,14925300
2023-02-03,95.040001,96.949997,94.309998,94.660004,92.479660,12242200
2023-02-06,91.800003,92.050003,90.739998,91.830002,89.714844,12425200
2023-02-07,91.779999,94.699997,91.680000,94.550003,92.372200,15258900
2023-02-08,95.019997,95.940002,94.230003,94.279999,92.108406,12899700
2023-02-09,96.000000,98.570000,95.620003,96.690002,94.462906,16997400
2023-02-10,95.949997,96.500000,94.250000,95.370003,93.173317,11511400
2023-02-13,95.470001,96.389999,94.910004,96.110001,93.896263,7803500
2023-02-14,95.820000,98.989998,95.220001,97.959999,95.703651,15345100
2023-02-15,92.330002,93.680000,90.769997,92.760002,90.623421,30208300
2023-02-16,90.980003,91.790001,89.879997,90.820000,88.728096,15568400
2023-02-17,89.970001,90.300003,88.940002,90.099998,88.024689,11235300
