Date,Open,High,Low,Close,Adj Close,Volume
2022-02-28,39.549999,40.660000,38.900002,39.290001,39.290001,312700
2022-03-01,39.270000,40.349998,38.779999,39.900002,39.900002,362300
2022-03-02,40.130001,42.459999,40.130001,42.169998,42.169998,261000
2022-03-03,42.369999,42.950001,41.680000,42.110001,42.110001,171100
2022-03-04,41.599998,41.919998,40.430000,41.570000,41.570000,175000
2022-03-07,41.500000,41.680000,40.080002,40.439999,40.439999,225600
2022-03-08,40.520000,41.169998,39.990002,40.480000,40.480000,273800
2022-03-09,41.139999,41.939999,40.869999,41.599998,41.599998,151900
2022-03-10,41.080002,42.040001,40.820000,41.180000,41.180000,176400
2022-03-11,41.619999,41.970001,40.860001,41.590000,41.590000,158600
2022-03-14,41.549999,41.849998,40.180000,40.520000,40.520000,199800
2022-03-15,40.660000,41.860001,40.330002,41.820000,41.820000,158700
2022-03-16,42.000000,43.040001,41.700001,42.750000,42.750000,199900
2022-03-17,42.480000,42.799999,41.779999,41.939999,41.939999,126200
2022-03-18,41.950001,43.209999,41.590000,42.889999,42.889999,329400
2022-03-21,42.540001,43.560001,42.540001,42.990002,42.990002,111500
2022-03-22,43.139999,43.590000,42.680000,42.950001,42.950001,441000
2022-03-23,42.810001,42.990002,41.169998,42.340000,42.340000,118900
2022-03-24,42.549999,43.029999,42.169998,42.509998,42.509998,115000
2022-03-25,42.630001,42.630001,41.730000,41.990002,41.990002,153400
2022-03-28,41.959999,42.160000,41.119999,41.860001,41.860001,159200
2022-03-29,42.290001,43.040001,42.060001,42.480000,42.480000,242300
2022-03-30,42.419998,43.130001,39.430000,39.580002,39.580002,335800
2022-03-31,39.560001,39.840000,38.000000,38.070000,38.070000,295300
2022-04-01,38.299999,38.990002,36.860001,37.919998,37.919998,242300
2022-04-04,37.680000,37.980000,37.189999,37.740002,37.740002,213100
2022-04-05,37.639999,37.930000,36.360001,36.400002,36.400002,141000
2022-04-06,36.110001,36.279999,35.259998,35.349998,35.349998,186400
2022-04-07,35.259998,35.720001,34.680000,35.400002,35.400002,180400
2022-04-08,34.750000,35.619999,34.110001,35.310001,35.310001,262700
2022-04-11,35.000000,35.660000,34.529999,35.189999,35.189999,164500
2022-04-12,35.330002,36.189999,34.790001,34.830002,34.830002,138700
2022-04-13,35.099998,35.779999,34.830002,35.599998,35.599998,107300
2022-04-14,35.810001,36.660000,35.740002,36.520000,36.520000,290400
2022-04-18,36.230000,36.820000,36.189999,36.610001,36.610001,272000
2022-04-19,42.000000,44.860001,41.110001,44.650002,44.650002,1652200
2022-04-20,44.790001,46.840000,44.770000,45.049999,45.049999,563400
2022-04-21,45.099998,46.150002,42.310001,42.720001,42.720001,632500
2022-04-22,43.110001,43.549999,41.639999,42.360001,42.360001,364000
2022-04-25,42.020000,43.139999,41.700001,42.779999,42.779999,178300
2022-04-26,42.310001,42.619999,41.049999,41.250000,41.250000,245600
2022-04-27,41.299999,42.919998,41.099998,41.639999,41.639999,229400
2022-04-28,41.310001,43.020000,41.310001,42.980000,42.980000,206200
2022-04-29,42.529999,43.759998,41.900002,42.099998,42.099998,246000
2022-05-02,42.130001,42.419998,41.049999,42.400002,42.400002,324100
2022-05-03,42.750000,43.689999,42.189999,43.230000,43.230000,411200
2022-05-04,48.320000,56.959999,48.250000,56.720001,56.720001,2574500
2022-05-05,56.650002,58.340000,51.340000,53.040001,53.040001,855800
2022-05-06,52.369999,52.820000,50.020000,51.209999,51.209999,755200
2022-05-09,50.389999,51.340000,48.790001,49.169998,49.169998,460500
2022-05-10,49.669998,51.500000,48.830002,51.080002,51.080002,412100
2022-05-11,50.400002,51.970001,49.119999,49.349998,49.349998,350100
2022-05-12,48.750000,51.189999,48.740002,51.139999,51.139999,478800
2022-05-13,51.419998,52.500000,50.400002,52.349998,52.349998,415300
2022-05-16,52.029999,53.450001,51.750000,52.590000,52.590000,302600
2022-05-17,53.500000,54.439999,52.150002,54.080002,54.080002,391100
2022-05-18,53.599998,54.900002,51.939999,52.369999,52.369999,341300
2022-05-19,52.279999,52.599998,50.049999,50.389999,50.389999,402500
2022-05-20,51.009998,51.220001,48.570000,49.759998,49.759998,450000
2022-05-23,49.990002,50.209999,48.750000,49.330002,49.330002,282300
2022-05-24,48.930000,49.250000,46.730000,47.450001,47.450001,505700
2022-05-25,47.150002,48.830002,47.150002,48.770000,48.770000,316900
2022-05-26,48.209999,50.139999,48.150002,49.259998,49.259998,339200
2022-05-27,49.709999,49.939999,49.110001,49.470001,49.470001,290700
2022-05-31,49.500000,50.610001,48.500000,50.060001,50.060001,585000
2022-06-01,50.580002,52.209999,49.320000,51.700001,51.700001,655700
2022-06-02,52.250000,56.070000,52.080002,55.490002,55.490002,889500
2022-06-03,54.759998,56.480000,53.700001,54.810001,54.810001,570200
2022-06-06,55.549999,57.650002,54.450001,54.990002,54.990002,640600
2022-06-07,54.130001,56.869999,53.599998,56.189999,56.189999,502400
2022-06-08,56.000000,56.720001,53.860001,54.270000,54.270000,441900
2022-06-09,54.000000,54.290001,50.150002,50.189999,50.189999,471000
2022-06-10,49.590000,49.599998,48.020000,48.750000,48.750000,427900
2022-06-13,47.160000,47.840000,45.480000,46.880001,46.880001,615900
2022-06-14,46.880001,47.099998,45.980000,46.419998,46.419998,298400
2022-06-15,46.750000,47.950001,45.279999,47.209999,47.209999,374900
2022-06-16,45.709999,46.320000,42.820000,42.910000,42.910000,606800
2022-06-17,42.840000,44.110001,42.419998,43.119999,43.119999,568300
